id,hospital_name,sido,sggu,emdong,address,longitude,latitude
5a7qy8,연세새봄의원,서울,강남구,논현동,"서울특별시 강남구 도산대로 328, 2층, 3층일부 (논현동)",127.0379816,37.5223957
yb7w8p,연세선우의원,서울,강남구,삼성동,"서울특별시 강남구 학동로 504, 2층 201호 (삼성동)",127.0510396,37.5187214
74mjdx,연세선하지외과의원,서울,강남구,역삼동,"서울특별시 강남구 테헤란로 121, 원빌딩 10층 1001호 (역삼동)",127.0310754,37.499421
o100vh,연세아르미안의원,서울,강남구,청담동,"서울특별시 강남구 학동로 433, 3층 (청담동)",127.0483242,37.5187786
mygty3,연세아이미스템의원,서울,강남구,역삼동,"서울특별시 강남구 테헤란로 120, 상경빌딩 9층 (역삼동)",127.0309467,37.4986172
addqhk,연세아이즈성형외과의원,서울,강남구,신사동,"서울특별시 강남구 압구정로 162, 베네하임시티 2층 201호 (신사동)",127.0274689,37.5263327
gad7x4,연세에스엘의원,서울,강남구,신사동,"서울특별시 강남구 논현로 833, 4층 (신사동)",127.02791,37.5228358
8wze4e,연세에스의원,서울,강남구,논현동,"서울특별시 강남구 학동로 171, 삼익악기 빌딩 2층 (논현동)",127.0295704,37.5140539
x6u86z,연세올케어소아청소년과의원,서울,강남구,대치동,"서울특별시 강남구 도곡로 426, JN빌딩 4층 (대치동)",127.057138,37.4973979
jq7w7j,연세와이비의원,서울,강남구,신사동,"서울특별시 강남구 도산대로49길 17, 산딸기빌딩 2층 (신사동)",127.0370343,37.5240612
p61lfc,연세유나유외과의원,서울,강남구,대치동,"서울특별시 강남구 선릉로 206, 2층 201,202호 (대치동, 동부센트레빌)",127.055548,37.4930864
1nlc8j,연세유피성형외과의원,서울,강남구,신사동,"서울특별시 강남구 논현로175길 18, 2층, 4층 (신사동)",127.0271378,37.5259636
pr7vgr,연세이롬산부인과의원,서울,강남구,삼성동,"서울특별시 강남구 테헤란로87길 17, 마젤란 21 아스테리움 1동 3층 301호 (삼성동)",127.0582844,37.5087249
f1hx6z,연세이롬이비인후과의원,서울,강남구,논현동,"서울특별시 강남구 학동로 215, CL타워 4층 405-407호 (논현동)",127.0325683,37.5148748
dcujq6,연세이미지라인의원,서울,강남구,신사동,"서울특별시 강남구 압구정로54길 16, 2층 (신사동)",127.0392832,37.526831
fx7xjz,연세이앤비성형외과의원,서울,강남구,신사동,"서울특별시 강남구 논현로 842, 압구정빌딩 9층 (신사동)",127.0287459,37.5240509
6us7rp,연세인의원,서울,강남구,논현동,"서울특별시 강남구 강남대로122길 50, 2층 (논현동)",127.0270957,37.5088851
422ta8,연세진성형외과의원,서울,강남구,논현동,"서울특별시 강남구 강남대로 596, 2층 (논현동)",127.020372,37.5150269
3ru7my,연세코앤이비인후과의원,서울,강남구,역삼동,"서울특별시 강남구 강남대로 416, (역삼동, 창림빌딩 3층일부)",127.0271777,37.4998129
ow8dt8,연세펠리체여성의원,서울,강남구,개포동,"서울특별시 강남구 개포로 504, 메트하임 5,7층 503,708호 (개포동)",127.0671869,37.4890546
cq1xgb,연앤네이쳐산부인과의원,서울,강남구,청담동,"서울특별시 강남구 학동로 521, 2~4층 (청담동)",127.0558075,37.5200321
ngz6wm,연의원,서울,강남구,논현동,"서울특별시 강남구 봉은사로 119, 성옥빌딩 3층 (논현동)",127.026705,37.5054214
dw0fgz,영앤영성형외과의원,서울,강남구,신사동,"서울특별시 강남구 논현로 837, (신사동, 원방빌딩 5층 일부)",127.0279801,37.5233451
vrctlt,영앤이비인후과의원,서울,강남구,역삼동,"서울특별시 강남구 언주로 432, 타워432 2층 (역삼동)",127.0433869,37.5021076
4q9bc2,예담성형외과의원,서울,강남구,신사동,"서울특별시 강남구 도산대로 211, 동현빌딩 3층 (신사동)",127.0297195,37.5206378
be3yqy,예라인의원,서울,강남구,신사동,"서울특별시 강남구 논현로 812, 6층 (신사동)",127.0285349,37.5211136
5fu7bf,예롬성형외과의원,서울,강남구,신사동,"서울특별시 강남구 논현로175길 7, 4층 (신사동)",127.0279425,37.526151
xq7bze,예미원피부과의원,서울,강남구,대치동,"서울특별시 강남구 남부순환로 2909, 701호 (대치동)",127.0574186,37.492191
gbl2qg,예뻐진의원,서울,강남구,신사동,"서울특별시 강남구 압구정로28길 49, (신사동, 유림아트홀 402호,501,502호,601호일부)",127.0277277,37.5232635
